t,frame,hx,hy,hz,hqw,hqx,hqy,hqz,b,rx,ry,rz,rqw,rqx,rqy,rqz,ax,ay,az,aqw,aqx,aqy,aqz,lag_x,lag_y,lag_z
0.0711,0,0.05977,-0.03006,-0.29727,0.63612,0.65182,0.16851,-0.37693,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.0878,1,0.06087,-0.02645,-0.29729,0.63297,0.65642,0.16624,-0.37527,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.1046,2,0.06197,-0.02286,-0.29706,0.62989,0.66061,0.16364,-0.37425,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,0.00
0.1213,3,0.06413,-0.01572,-0.29672,0.62352,0.66720,0.16284,-0.37356,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,0.00
0.1380,4,0.06511,-0.01230,-0.29660,0.62068,0.67089,0.16288,-0.37166,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.1549,5,0.06602,-0.00924,-0.29632,0.61858,0.67442,0.16223,-0.36905,0,0.26408,0.05390,0.48348,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.1715,6,0.06673,-0.00650,-0.29614,0.61597,0.67739,0.16283,-0.36772,0,0.26408,0.05391,0.48347,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.1883,7,0.06717,-0.00408,-0.29611,0.61330,0.68029,0.16311,-0.36670,0,0.26408,0.05391,0.48348,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.00
0.2050,8,0.06750,0.00003,-0.29598,0.61052,0.68453,0.16394,-0.36305,0,0.26408,0.05391,0.48348,-0.11204,0.38774,0.90153,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.01
0.2218,9,0.06753,0.00161,-0.29609,0.60892,0.68631,0.16466,-0.36204,0,0.26408,0.05390,0.48348,-0.11204,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.01
0.2385,10,0.06731,0.00297,-0.29625,0.60826,0.68716,0.16564,-0.36111,0,0.26408,0.05390,0.48348,-0.11204,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.01
0.2552,11,0.06683,0.00409,-0.29643,0.60825,0.68739,0.16605,-0.36048,0,0.26408,0.05390,0.48349,-0.11204,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.01
0.2719,12,0.06618,0.00491,-0.29647,0.60883,0.68719,0.16597,-0.35992,0,0.26408,0.05390,0.48349,-0.11204,0.38772,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.02
0.2887,13,0.06474,0.00629,-0.29667,0.60692,0.68777,0.16769,-0.36124,0,0.26407,0.05390,0.48349,-0.11205,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.02
0.3054,14,0.06386,0.00686,-0.29687,0.60545,0.68882,0.16809,-0.36153,0,0.26407,0.05390,0.48350,-0.11205,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,0.00,0.00,-0.03
0.3221,15,0.06296,0.00750,-0.29701,0.60515,0.68866,0.16935,-0.36175,0,0.26407,0.05390,0.48351,-0.11205,0.38773,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.04
0.3389,16,0.06216,0.00810,-0.29709,0.60515,0.68832,0.17045,-0.36187,0,0.26407,0.05390,0.48352,-0.11205,0.38772,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,-0.00,0.00,-0.04
0.3556,17,0.06065,0.00907,-0.29708,0.60516,0.68774,0.17264,-0.36193,0,0.26407,0.05390,0.48352,-0.11205,0.38772,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,0.00,0.01,-0.05
0.3723,18,0.05981,0.00930,-0.29712,0.60539,0.68736,0.17328,-0.36195,0,0.26407,0.05390,0.48353,-0.11206,0.38772,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,0.00,0.01,-0.06
0.3891,19,0.05900,0.00943,-0.29703,0.60560,0.68723,0.17401,-0.36150,0,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15602,0.26407,0.05391,0.48347,-0.11204,0.38773,0.90153,-0.15603,0.00,0.01,-0.06
0.4058,20,0.05819,0.00944,-0.29707,0.60519,0.68694,0.17580,-0.36187,0,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.00,0.00
0.4226,21,0.05735,0.00935,-0.29727,0.60458,0.68698,0.17683,-0.36231,0,0.26407,0.05389,0.48355,-0.11205,0.38772,0.90154,-0.15601,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,-0.00,0.00,-0.01
0.4393,22,0.05582,0.00909,-0.29756,0.60551,0.68619,0.17676,-0.36230,0,0.26407,0.05389,0.48356,-0.11206,0.38771,0.90154,-0.15601,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,-0.00,0.01,-0.02
0.4560,23,0.05526,0.00901,-0.29750,0.60636,0.68548,0.17651,-0.36234,0,0.26407,0.05389,0.48358,-0.11206,0.38771,0.90155,-0.15600,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,-0.00,0.01,-0.04
0.4728,24,0.05475,0.00888,-0.29749,0.60715,0.68473,0.17669,-0.36235,0,0.26408,0.05389,0.48360,-0.11206,0.38771,0.90155,-0.15600,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,-0.00,0.01,-0.05
0.4895,25,0.05437,0.00870,-0.29754,0.60718,0.68508,0.17658,-0.36168,0,0.26408,0.05388,0.48361,-0.11206,0.38770,0.90155,-0.15599,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,-0.00,0.01,-0.07
0.5063,26,0.05405,0.00814,-0.29774,0.60766,0.68517,0.17618,-0.36091,0,0.26407,0.05388,0.48363,-0.11207,0.38770,0.90155,-0.15599,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.02,-0.08
0.5229,27,0.05383,0.00761,-0.29797,0.60788,0.68503,0.17597,-0.36090,0,0.26407,0.05388,0.48364,-0.11207,0.38770,0.90155,-0.15599,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.02,-0.10
0.5397,28,0.05337,0.00636,-0.29863,0.60853,0.68381,0.17381,-0.36316,0,0.26407,0.05388,0.48365,-0.11207,0.38769,0.90156,-0.15598,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.02,-0.11
0.5564,29,0.05313,0.00564,-0.29891,0.60942,0.68272,0.17205,-0.36457,0,0.26407,0.05388,0.48366,-0.11207,0.38770,0.90156,-0.15598,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.02,-0.12
0.5731,30,0.05292,0.00482,-0.29921,0.61033,0.68177,0.17046,-0.36556,0,0.26407,0.05388,0.48367,-0.11207,0.38770,0.90155,-0.15598,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.00,0.02,-0.13
0.5898,31,0.05282,0.00421,-0.29958,0.61114,0.68092,0.16957,-0.36620,0,0.26407,0.05388,0.48368,-0.11207,0.38769,0.90156,-0.15597,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.02,-0.13
0.6065,32,0.05296,0.00342,-0.30042,0.61212,0.68087,0.16690,-0.36588,0,0.26406,0.05387,0.48368,-0.11208,0.38769,0.90156,-0.15597,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.02,-0.14
0.6234,33,0.05302,0.00284,-0.30091,0.61282,0.68063,0.16523,-0.36592,0,0.26406,0.05387,0.48369,-0.11207,0.38770,0.90156,-0.15597,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.15
