t,frame,hx,hy,hz,hqw,hqx,hqy,hqz,b,rx,ry,rz,rqw,rqx,rqy,rqz,ax,ay,az,aqw,aqx,aqy,aqz,lag_x,lag_y,lag_z
0.6401,34,0.05314,0.00240,-0.30136,0.61321,0.68037,0.16393,-0.36632,0,0.26406,0.05386,0.48369,-0.11208,0.38770,0.90156,-0.15597,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.15
0.6569,35,0.05313,0.00187,-0.30189,0.61320,0.68019,0.16192,-0.36758,0,0.26406,0.05386,0.48370,-0.11208,0.38769,0.90156,-0.15596,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.15
0.6736,36,0.05300,0.00139,-0.30240,0.61381,0.67949,0.16006,-0.36867,0,0.26406,0.05386,0.48370,-0.11208,0.38769,0.90156,-0.15596,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.16
0.6903,37,0.05259,0.00066,-0.30308,0.61679,0.67708,0.15651,-0.36965,0,0.26406,0.05386,0.48371,-0.11208,0.38769,0.90156,-0.15596,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.17
0.7072,38,0.05231,0.00055,-0.30333,0.61829,0.67620,0.15480,-0.36947,0,0.26406,0.05386,0.48372,-0.11208,0.38769,0.90156,-0.15595,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.18
0.7238,39,0.05205,0.00067,-0.30349,0.61913,0.67575,0.15364,-0.36937,0,0.26406,0.05386,0.48373,-0.11208,0.38769,0.90156,-0.15595,0.26407,0.05390,0.48354,-0.11206,0.38772,0.90154,-0.15601,0.01,0.03,-0.19
0.7406,40,0.05176,0.00093,-0.30382,0.61901,0.67598,0.15323,-0.36932,0,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.00,0.00,0.00
0.7573,41,0.05146,0.00123,-0.30401,0.61877,0.67679,0.15262,-0.36850,0,0.26405,0.05386,0.48374,-0.11209,0.38769,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,-0.00,0.00,-0.01
0.7741,42,0.05102,0.00166,-0.30414,0.61820,0.67626,0.15394,-0.36987,0,0.26405,0.05385,0.48377,-0.11209,0.38769,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.00,0.01,-0.04
0.7909,43,0.05064,0.00160,-0.30415,0.61848,0.67611,0.15317,-0.37000,0,0.26404,0.05385,0.48381,-0.11210,0.38768,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.02,0.01,-0.08
0.8076,44,0.05031,0.00156,-0.30406,0.61900,0.67592,0.15240,-0.36978,0,0.26404,0.05384,0.48386,-0.11209,0.38768,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.01,0.02,-0.12
0.8243,45,0.05000,0.00144,-0.30391,0.61979,0.67517,0.15169,-0.37012,0,0.26404,0.05384,0.48390,-0.11210,0.38768,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.02,0.02,-0.16
0.8411,46,0.04988,0.00140,-0.30373,0.62012,0.67442,0.15213,-0.37076,0,0.26403,0.05383,0.48393,-0.11211,0.38769,0.90156,-0.15595,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.02,0.03,-0.19
0.8578,47,0.04968,0.00127,-0.30352,0.61976,0.67519,0.15189,-0.37008,0,0.26403,0.05382,0.48395,-0.11212,0.38768,0.90156,-0.15594,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.03,0.04,-0.22
0.8745,48,0.04966,0.00126,-0.30352,0.61936,0.67620,0.15165,-0.36898,0,0.26403,0.05382,0.48397,-0.11212,0.38768,0.90156,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.03,0.04,-0.24
0.8913,49,0.04973,0.00115,-0.30368,0.61873,0.67787,0.15077,-0.36733,0,0.26403,0.05382,0.48398,-0.11211,0.38769,0.90156,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.03,0.04,-0.25
0.9080,50,0.04976,0.00098,-0.30403,0.61762,0.68012,0.14884,-0.36582,0,0.26402,0.05382,0.48399,-0.11212,0.38769,0.90156,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.03,0.04,-0.26
0.9248,51,0.04983,0.00054,-0.30426,0.61850,0.68062,0.14662,-0.36430,0,0.26402,0.05381,0.48400,-0.11211,0.38768,0.90156,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.03,0.05,-0.27
0.9415,52,0.05030,-0.00023,-0.30488,0.62094,0.67813,0.14614,-0.36501,0,0.26402,0.05382,0.48401,-0.11211,0.38768,0.90157,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.04,0.04,-0.27
0.9583,53,0.05050,-0.00070,-0.30515,0.62172,0.67759,0.14488,-0.36516,0,0.26401,0.05382,0.48401,-0.11211,0.38768,0.90156,-0.15593,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.04,0.04,-0.28
0.9750,54,0.05080,-0.00110,-0.30541,0.62263,0.67700,0.14367,-0.36518,0,0.26400,0.05382,0.48402,-0.11211,0.38768,0.90157,-0.15592,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.05,0.04,-0.28
0.9917,55,0.05117,-0.00143,-0.30577,0.62310,0.67667,0.14259,-0.36542,0,0.26400,0.05382,0.48402,-0.11212,0.38768,0.90157,-0.15592,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.05,0.04,-0.29
1.0085,56,0.05150,-0.00164,-0.30615,0.62318,0.67678,0.14104,-0.36568,0,0.26400,0.05381,0.48403,-0.11211,0.38767,0.90157,-0.15592,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.05,0.05,-0.29
1.0252,57,0.05233,-0.00171,-0.30705,0.62324,0.67750,0.13748,-0.36559,0,0.26400,0.05381,0.48403,-0.11211,0.38768,0.90157,-0.15592,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.05,0.05,-0.30
1.0419,58,0.05269,-0.00177,-0.30754,0.62410,0.67740,0.13547,-0.36507,0,0.26400,0.05381,0.48404,-0.11211,0.38768,0.90157,-0.15591,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.06,0.05,-0.30
1.0586,59,0.05297,-0.00188,-0.30801,0.62530,0.67726,0.13277,-0.36426,0,0.26400,0.05381,0.48404,-0.11211,0.38769,0.90157,-0.15591,0.26405,0.05386,0.48373,-0.11209,0.38769,0.90156,-0.15595,0.06,0.05,-0.30
1.0754,60,0.05320,-0.00233,-0.30848,0.62731,0.67628,0.12990,-0.36367,0,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.00,0.00,0.00
1.0921,61,0.05344,-0.00260,-0.30903,0.62881,0.67550,0.12762,-0.36332,0,0.26399,0.05380,0.48405,-0.11212,0.38767,0.90157,-0.15591,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.00,0.00,-0.01
1.1089,62,0.05394,-0.00267,-0.30989,0.63094,0.67362,0.12506,-0.36402,0,0.26399,0.05380,0.48409,-0.11211,0.38767,0.90158,-0.15590,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.01,0.01,-0.05
1.1256,63,0.05417,-0.00260,-0.31033,0.63165,0.67280,0.12435,-0.36456,0,0.26397,0.05380,0.48414,-0.11213,0.38766,0.90158,-0.15590,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.03,0.00,-0.10
1.1423,64,0.05421,-0.00270,-0.31067,0.63281,0.67168,0.12312,-0.36502,0,0.26396,0.05381,0.48421,-0.11214,0.38765,0.90158,-0.15588,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.03,0.00,-0.16
1.1591,65,0.05426,-0.00272,-0.31098,0.63424,0.67071,0.12212,-0.36466,0,0.26396,0.05380,0.48426,-0.11214,0.38765,0.90159,-0.15586,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.04,0.00,-0.22
1.1758,66,0.05441,-0.00254,-0.31119,0.63542,0.67022,0.12113,-0.36384,0,0.26395,0.05379,0.48431,-0.11216,0.38764,0.90159,-0.15585,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.04,0.01,-0.27
1.1926,67,0.05470,-0.00212,-0.31141,0.63436,0.67170,0.11882,-0.36372,0,0.26394,0.05379,0.48435,-0.11218,0.38764,0.90159,-0.15584,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.05,0.02,-0.31
1.2092,68,0.05471,-0.00170,-0.31154,0.63386,0.67219,0.11928,-0.36355,0,0.26394,0.05378,0.48437,-0.11219,0.38764,0.90159,-0.15583,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.06,0.03,-0.33
1.2260,69,0.05477,-0.00096,-0.31160,0.63338,0.67291,0.12022,-0.36272,0,0.26394,0.05377,0.48439,-0.11219,0.38764,0.90159,-0.15582,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.06,0.04,-0.35
1.2427,70,0.05473,-0.00024,-0.31148,0.63305,0.67387,0.12113,-0.36122,0,0.26393,0.05377,0.48440,-0.11219,0.38763,0.90160,-0.15581,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.06,0.04,-0.36
1.2595,71,0.05450,0.00048,-0.31134,0.63263,0.67500,0.12256,-0.35936,0,0.26393,0.05376,0.48441,-0.11219,0.38763,0.90160,-0.15581,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.06,0.04,-0.37
1.2762,72,0.05426,0.00227,-0.31072,0.63123,0.67799,0.12571,-0.35507,0,0.26393,0.05376,0.48442,-0.11219,0.38763,0.90160,-0.15580,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.07,0.05,-0.38
1.2929,73,0.05415,0.00356,-0.31036,0.63022,0.67983,0.12749,-0.35270,0,0.26392,0.05376,0.48442,-0.11219,0.38764,0.90159,-0.15580,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.07,0.05,-0.38
1.3097,74,0.05412,0.00507,-0.30981,0.62935,0.68158,0.12844,-0.35052,0,0.26392,0.05376,0.48442,-0.11219,0.38764,0.90159,-0.15580,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.07,0.05,-0.38
1.3264,75,0.05417,0.00660,-0.30895,0.62851,0.68248,0.13048,-0.34953,0,0.26392,0.05376,0.48442,-0.11219,0.38764,0.90160,-0.15579,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.08,0.05,-0.38
1.3431,76,0.05442,0.00830,-0.30803,0.62807,0.68225,0.13400,-0.34944,0,0.26391,0.05376,0.48443,-0.11219,0.38764,0.90160,-0.15579,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.08,0.05,-0.39
1.3599,77,0.05517,0.01350,-0.30554,0.62632,0.68332,0.13801,-0.34894,0,0.26391,0.05376,0.48443,-0.11219,0.38764,0.90160,-0.15580,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.08,0.05,-0.39
1.3766,78,0.05578,0.01701,-0.30435,0.62402,0.68541,0.13949,-0.34837,0,0.26391,0.05376,0.48444,-0.11218,0.38764,0.90160,-0.15579,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.08,0.04,-0.39
1.3933,79,0.05656,0.02086,-0.30303,0.62169,0.68866,0.13918,-0.34623,0,0.26391,0.05376,0.48444,-0.11218,0.38763,0.90160,-0.15579,0.26399,0.05381,0.48404,-0.11212,0.38768,0.90157,-0.15591,0.08,0.05,-0.40
1.4101,80,0.05722,0.02466,-0.30190,0.61865,0.69332,0.13770,-0.34295,0,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.00,0.00,0.00
1.4268,81,0.05794,0.02796,-0.30128,0.61456,0.69775,0.13800,-0.34120,0,0.26390,0.05376,0.48445,-0.11218,0.38764,0.90160,-0.15579,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.00,0.00,-0.01
1.4435,82,0.05973,0.03237,-0.30071,0.61121,0.70194,0.13829,-0.33849,0,0.26390,0.05376,0.48449,-0.11217,0.38764,0.90160,-0.15578,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.01,0.00,-0.05
1.4605,83,0.06082,0.03322,-0.30082,0.61150,0.70244,0.13722,-0.33737,0,0.26387,0.05375,0.48455,-0.11220,0.38762,0.90160,-0.15579,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.04,0.01,-0.11
1.4778,84,0.06197,0.03398,-0.30110,0.61212,0.70255,0.13676,-0.33619,0,0.26386,0.05375,0.48463,-0.11219,0.38762,0.90161,-0.15578,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.05,0.01,-0.18
1.4946,85,0.06352,0.03524,-0.30148,0.61203,0.70374,0.13564,-0.33433,0,0.26385,0.05375,0.48471,-0.11219,0.38761,0.90161,-0.15577,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.05,0.01,-0.27
1.5113,86,0.06519,0.03687,-0.30177,0.61126,0.70562,0.13282,-0.33291,0,0.26384,0.05375,0.48477,-0.11220,0.38761,0.90161,-0.15576,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.06,0.01,-0.32
1.5280,87,0.06908,0.04141,-0.30203,0.60793,0.71067,0.12894,-0.32977,0,0.26383,0.05374,0.48481,-0.11222,0.38763,0.90161,-0.15576,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.07,0.02,-0.36
1.5447,88,0.07093,0.04418,-0.30208,0.60407,0.71480,0.12963,-0.32764,0,0.26383,0.05373,0.48484,-0.11223,0.38762,0.90161,-0.15574,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.07,0.03,-0.39
1.5614,89,0.07280,0.04694,-0.30241,0.59975,0.71956,0.13234,-0.32406,0,0.26383,0.05373,0.48486,-0.11223,0.38762,0.90161,-0.15574,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.08,0.04,-0.42
1.5781,90,0.07475,0.04973,-0.30243,0.59672,0.72359,0.13337,-0.32025,0,0.26382,0.05372,0.48488,-0.11223,0.38762,0.90161,-0.15573,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.08,0.04,-0.43
1.5949,91,0.07866,0.05451,-0.30276,0.59076,0.72737,0.13745,-0.32102,0,0.26382,0.05372,0.48489,-0.11222,0.38762,0.90161,-0.15573,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.09,0.04,-0.44
1.6117,92,0.08048,0.05666,-0.30247,0.58814,0.72980,0.13425,-0.32166,0,0.26381,0.05372,0.48489,-0.11222,0.38761,0.90161,-0.15573,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.09,0.04,-0.45
1.6285,93,0.08211,0.05920,-0.30206,0.58546,0.73235,0.13030,-0.32238,0,0.26381,0.05373,0.48490,-0.11222,0.38761,0.90162,-0.15573,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.10,0.04,-0.45
1.6453,94,0.08388,0.06160,-0.30169,0.58286,0.73501,0.12817,-0.32188,0,0.26380,0.05373,0.48490,-0.11221,0.38761,0.90162,-0.15573,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.11,0.04,-0.46
1.6619,95,0.08576,0.06421,-0.30144,0.57970,0.73884,0.12688,-0.31932,0,0.26380,0.05373,0.48490,-0.11222,0.38761,0.90162,-0.15572,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.11,0.03,-0.45
1.6786,96,0.08898,0.06973,-0.30090,0.57086,0.74944,0.12269,-0.31209,0,0.26379,0.05372,0.48490,-0.11221,0.38761,0.90162,-0.15572,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.11,0.04,-0.46
1.6953,97,0.09035,0.07247,-0.30083,0.56632,0.75453,0.11972,-0.30924,0,0.26379,0.05371,0.48490,-0.11221,0.38762,0.90162,-0.15572,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.11,0.05,-0.46
1.7121,98,0.09149,0.07536,-0.30046,0.56300,0.75830,0.11584,-0.30756,0,0.26379,0.05371,0.48490,-0.11221,0.38762,0.90162,-0.15572,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.12,0.05,-0.46
1.7288,99,0.09228,0.07780,-0.29991,0.56050,0.76117,0.11239,-0.30631,0,0.26379,0.05371,0.48490,-0.11221,0.38762,0.90162,-0.15572,0.26391,0.05376,0.48444,-0.11219,0.38763,0.90160,-0.15579,0.12,0.05,-0.46
1.7456,100,0.09283,0.08020,-0.29951,0.55842,0.76337,0.11237,-0.30464,0,0.26379,0.05371,0.48490,-0.11221,0.38761,0.90162,-0.15571,0.26379,0.05371,0.48490,-0.11221,0.38761,0.90162,-0.15571,0.00,0.00,0.00
1.7623,101,0.09331,0.08514,-0.29874,0.55290,0.77053,0.11245,-0.29655,0,0.26378,0.05370,0.48491,-0.11221,0.38761,0.90162,-0.15571,0.26379,0.05371,0.48490,-0.11221,0.38761,0.90162,-0.15571,0.00,0.00,-0.00
1.7790,102,0.09318,0.08719,-0.29853,0.54971,0.77473,0.11173,-0.29176,0,0.26378,0.05370,0.48494,-0.11219,0.38760,0.90163,-0.15570,0.26379,0.05371,0.48490,-0.11221,0.38761,0.90162,-0.15571,0.01,0.00,-0.04
